Item,Condition,Condition code,Scenario
44,1,TB-C,"The vet wrote out the customer’s bill and left it in his office.  Later, the vet saw Erin move the bill to the reception. When the vet wanted to post the bill he looked in the reception."
44,2,TB-IC,"The vet wrote out the customer’s bill and left it in his office.  Later, the vet saw Erin move the bill to the reception. When the vet wanted to post the bill he looked in the office."
44,3,FB-C,"The vet wrote out the customer’s bill and left it in his office.  While the vet was at lunch, Erin moved the bill to the reception. When the vet wanted to post the bill he looked in the office."
44,4,FB-IC,"The vet wrote out the customer’s bill and left it in his office.  While the vet was at lunch, Erin moved the bill to the reception. When the vet wanted to post the bill he looked in the reception."
45,1,TB-C,"The athlete packed his kit bag and put it in the baggage tent.  Later, the athlete spied the marshal move the kit bag to a bus. When the athlete wanted to retrieve his kit bag he looked in the bus."
45,2,TB-IC,"The athlete packed his kit bag and put it in the baggage tent.  Later, the athlete spied the marshal move the kit bag to a bus. When the athlete wanted to retrieve his kit bag he looked in the tent."
45,3,FB-C,"The athlete packed his kit bag and put it in the baggage tent.  While the athlete was running, the marshal moved the kit bag to a bus. When the athlete wanted to retrieve his kit bag he looked in the tent."
45,4,FB-IC,"The athlete packed his kit bag and put it in the baggage tent.  While the athlete was running, the marshal moved the kit bag to a bus. When the athlete wanted to retrieve his kit bag he looked in the bus."
46,1,TB-C,"The florist arranged the bouquet and put it in the cool cellar.  Later, the florist noticed Maureen move the bouquet to the shop. When the florist wanted to admire the bouquet she looked in the shop."
46,2,TB-IC,"The florist arranged the bouquet and put it in the cool cellar.  Later, the florist noticed Maureen move the bouquet to the shop. When the florist wanted to admire the bouquet she looked in the cellar."
46,3,FB-C,"The florist arranged the bouquet and put it in the cool cellar.  While the florist was diverted, Maureen moved the bouquet to the shop. When the florist wanted to admire the bouquet she looked in the cellar."
46,4,FB-IC,"The florist arranged the bouquet and put it in the cool cellar.  While the florist was diverted, Maureen moved the bouquet to the shop. When the florist wanted to admire the bouquet she looked in the shop."
47,1,TB-C,"The engineer packed up the tools and put his tool kit in the car.  Later, the engineer witnessed his assistant move the tool kit to the warehouse. When the engineer wanted to use his tool kit he looked in the warehouse."
47,2,TB-IC,"The engineer packed up the tools and put his tool kit in the car.  Later, the engineer witnessed his assistant move the tool kit to the warehouse. When the engineer wanted to use his tool kit he looked in the car."
47,3,FB-C,"The engineer packed up the tools and put his tool kit in the car.  While the engineer was not looking, his assistant moved the tool kit to the warehouse. When the engineer wanted to use his tool kit he looked in the car."
47,4,FB-IC,"The engineer packed up the tools and put his tool kit in the car.  While the engineer was not looking, his assistant moved the tool kit to the warehouse. When the engineer wanted to use his tool kit he looked in the warehouse."
48,1,TB-C,"The lawyer wrote the will and put it in the filing cabinet.  Later, the lawyer watched the secretary move the will to the safe. When the lawyer wanted to check the will she looked in the safe."
48,2,TB-IC,"The lawyer wrote the will and put it in the filing cabinet.  Later, the lawyer watched the secretary move the will to the safe. When the lawyer wanted to check the will she looked in the cabinet."
48,3,FB-C,"The lawyer wrote the will and put it in the filing cabinet.  While the lawyer was busy, the secretary moved the will to the safe. When the lawyer wanted to check the will she looked in the cabinet."
48,4,FB-IC,"The lawyer wrote the will and put it in the filing cabinet.  While the lawyer was busy, the secretary moved the will to the safe. When the lawyer wanted to check the will she looked in the safe."
49,1,TB-C,"Jade bought a magazine and put it in her handbag.  Later, Jade spotted her son move the magazine to the cupboard. When Jade wanted to read the magazine she looked in the cupboard."
49,2,TB-IC,"Jade bought a magazine and put it in her handbag.  Later, Jade spotted her son move the magazine to the cupboard. When Jade wanted to read the magazine she looked in the handbag."
49,3,FB-C,"Jade bought a magazine and put it in her handbag.  While Jade was distracted, her son moved the magazine to the cupboard. When Jade wanted to read the magazine she looked in the handbag."
49,4,FB-IC,"Jade bought a magazine and put it in her handbag.  While Jade was distracted, her son moved the magazine to the cupboard. When Jade wanted to read the magazine she looked in the cupboard."
50,1,TB-C,"Amy bought the plasters and put them in the bathroom.  Later, Amy saw James move the plasters to the kitchen. When Amy wanted to use a plaster she looked in the kitchen."
50,2,TB-IC,"Amy bought the plasters and put them in the bathroom.  Later, Amy saw James move the plasters to the kitchen. When Amy wanted to use a plaster she looked in the bathroom."
50,3,FB-C,"Amy bought the plasters and put them in the bathroom.  While Amy was preoccupied, James moved the plasters to the kitchen. When Amy wanted to use a plaster she looked in the bathroom."
50,4,FB-IC,"Amy bought the plasters and put them in the bathroom.  While Amy was preoccupied, James moved the plasters to the kitchen. When Amy wanted to use a plaster she looked in the kitchen."
51,1,TB-C,"Markus returned from his run and hung his sweaty t-shirt in the wardrobe.  Later, Markus spied Ulla move the t-shirt to the sink. When Markus wanted to retrieve his t-shirt he looked in the sink."
51,2,TB-IC,"Markus returned from his run and hung his sweaty t-shirt in the wardrobe.  Later, Markus spied Ulla move the t-shirt to the sink. When Markus wanted to retrieve his t-shirt he looked in the wardrobe."
51,3,FB-C,"Markus returned from his run and hung his sweaty t-shirt in the wardrobe.  While Markus was showering, Ulla moved the t-shirt to the sink. When Markus wanted to retrieve his t-shirt he looked in the wardrobe."
51,4,FB-IC,"Markus returned from his run and hung his sweaty t-shirt in the wardrobe.  While Markus was showering, Ulla moved the t-shirt to the sink. When Markus wanted to retrieve his t-shirt he looked in the sink."
52,1,TB-C,"Heather unplugged her i-pod and put it down on the radiator.  Later, Heather noticed Billy move the i-pod to the table. When Heather wanted to listen to her i-pod she looked on the table."
52,2,TB-IC,"Heather unplugged her i-pod and put it down on the radiator.  Later, Heather noticed Billy move the i-pod to the table. When Heather wanted to listen to her i-pod she looked on the radiator."
52,3,FB-C,"Heather unplugged her i-pod and put it down on the radiator.  While Heather was not looking, Billy moved the i-pod to the table. When Heather wanted to listen to her i-pod she looked on the radiator."
52,4,FB-IC,"Heather unplugged her i-pod and put it down on the radiator.  While Heather was not looking, Billy moved the i-pod to the table. When Heather wanted to listen to her i-pod she looked on the table."
53,1,TB-C,"Gillian finished her magazine and put it in the drawer.  Later, Gillian watched her Mum move the magazine to the bin. When Gillian wanted to browse the magazine again she looked in the bin."
53,2,TB-IC,"Gillian finished her magazine and put it in the drawer.  Later, Gillian watched her Mum move the magazine to the bin. When Gillian wanted to browse the magazine again she looked in the drawer."
53,3,FB-C,"Gillian finished her magazine and put it in the drawer.  While Gillian was distracted, her Mum moved the magazine to the bin. When Gillian wanted to browse the magazine again she looked in the drawer."
53,4,FB-IC,"Gillian finished her magazine and put it in the drawer.  While Gillian was distracted, her Mum moved the magazine to the bin. When Gillian wanted to browse the magazine again she looked in the bin."
54,1,TB-C,"Fiona applied her lipstick and put it in her handbag.  Later, Fiona spotted her little sister move the lipstick to the drawer. When Fiona wanted to use her lipstick she looked in the drawer."
54,2,TB-IC,"Fiona applied her lipstick and put it in her handbag.  Later, Fiona spotted her little sister move the lipstick to the drawer. When Fiona wanted to use her lipstick she looked in the handbag."
54,3,FB-C,"Fiona applied her lipstick and put it in her handbag.  While Fiona was distracted, her little sister moved the lipstick to the drawer. When Fiona wanted to use her lipstick she looked in the handbag."
54,4,FB-IC,"Fiona applied her lipstick and put it in her handbag.  While Fiona was distracted, her little sister moved the lipstick to the drawer. When Fiona wanted to use her lipstick she looked in the drawer."
55,1,TB-C,"Veronica put her new Take That poster up in the bedroom.  Later, Veronica saw Adam move the poster to the garage. When Veronica wanted to admire the poster she looked in the garage."
55,2,TB-IC,"Veronica put her new Take That poster up in the bedroom.  Later, Veronica saw Adam move the poster to the garage. When Veronica wanted to admire the poster she looked in the bedroom."
55,3,FB-C,"Veronica put her new Take That poster up in the bedroom.  While Veronica was preoccupied, Adam moved the poster to the garage. When Veronica wanted to admire the poster she looked in the bedroom."
55,4,FB-IC,"Veronica put her new Take That poster up in the bedroom.  While Veronica was preoccupied, Adam moved the poster to the garage. When Veronica wanted to admire the poster she looked in the garage."
56,1,TB-C,"Ellen packed her school bag and put it in the hall.  Later, Ellen observed her Dad move the bag to the lounge. When Ellen wanted to collect her bag she looked in the lounge."
56,2,TB-IC,"Ellen packed her school bag and put it in the hall.  Later, Ellen observed her Dad move the bag to the lounge. When Ellen wanted to collect her bag she looked in the hall."
56,3,FB-C,"Ellen packed her school bag and put it in the hall.  While Ellen was eating breakfast, her Dad moved the bag to the lounge. When Ellen wanted to collect her bag she looked in the hall."
56,4,FB-IC,"Ellen packed her school bag and put it in the hall.  While Ellen was eating breakfast, her Dad moved the bag to the lounge. When Ellen wanted to collect her bag she looked in the lounge."
57,1,TB-C,"George and Michelle tidied up and put the toy car in the cupboard.  Later, George spied Michelle move the toy car to the attic. When George wanted to reclaim the toy car he looked in the attic."
57,2,TB-IC,"George and Michelle tidied up and put the toy car in the cupboard.  Later, George spied Michelle move the toy car to the attic. When George wanted to reclaim the toy car he looked in the cupboard."
57,3,FB-C,"George and Michelle tidied up and put the toy car in the cupboard.  While George was busy, Michelle moved the toy car to the attic. When George wanted to reclaim the toy car he looked in the cupboard."
57,4,FB-IC,"George and Michelle tidied up and put the toy car in the cupboard.  While George was busy, Michelle moved the toy car to the attic. When George wanted to reclaim the toy car he looked in the attic."
58,1,TB-C,"Jacob and Emily unpacked and put the suitcase in the bedroom.  Later, Jacob noticed Emily move the suitcase to the garage. When Jacob wanted to clean the suitcase he looked in the garage."
58,2,TB-IC,"Jacob and Emily unpacked and put the suitcase in the bedroom.  Later, Jacob noticed Emily move the suitcase to the garage. When Jacob wanted to clean the suitcase he looked in the bedroom."
58,3,FB-C,"Jacob and Emily unpacked and put the suitcase in the bedroom.  While Jacob was out the house, Emily moved the suitcase to the garage. When Jacob wanted to clean the suitcase he looked in the bedroom."
58,4,FB-IC,"Jacob and Emily unpacked and put the suitcase in the bedroom.  While Jacob was out the house, Emily moved the suitcase to the garage. When Jacob wanted to clean the suitcase he looked in the garage."
59,1,TB-C,"Olivia and Matthew unpacked the shopping and put the eggs in the cupboard.  Later, Olivia witnessed Matthew move the eggs to the fridge. When Olivia wanted to use the eggs she looked in the fridge."
59,2,TB-IC,"Olivia and Matthew unpacked the shopping and put the eggs in the cupboard.  Later, Olivia witnessed Matthew move the eggs to the fridge. When Olivia wanted to use the eggs she looked in the cupboard."
59,3,FB-C,"Olivia and Matthew unpacked the shopping and put the eggs in the cupboard.  While Olivia was not looking, Matthew moved the eggs to the fridge. When Olivia wanted to use the eggs she looked in the cupboard."
59,4,FB-IC,"Olivia and Matthew unpacked the shopping and put the eggs in the cupboard.  While Olivia was not looking, Matthew moved the eggs to the fridge. When Olivia wanted to use the eggs she looked in the fridge."
60,1,TB-C,"Ashley and William parked the car in the street.  Later, Ashley watched William move the car to the garage. When Ashley wanted to use the car she looked in the garage."
60,2,TB-IC,"Ashley and William parked the car in the street.  Later, Ashley watched William move the car to the garage. When Ashley wanted to use the car she looked in the street."
60,3,FB-C,"Ashley and William parked the car in the street.  While Ashley was unaware, William moved the car to the garage. When Ashley wanted to use the car she looked in the street."
60,4,FB-IC,"Ashley and William parked the car in the street.  While Ashley was unaware, William moved the car to the garage. When Ashley wanted to use the car she looked in the garage."
61,1,TB-C,"Joe and Isabel set up the television in the conservatory.  Later, Joe spotted Isabel move the television to the lounge. When Isabel wanted to watch the television she looked in the lounge."
61,2,TB-IC,"Joe and Isabel set up the television in the conservatory.  Later, Joe spotted Isabel move the television to the lounge. When Isabel wanted to watch the television she looked in the conservatory."
61,3,FB-C,"Joe and Isabel set up the television in the conservatory.  While Joe was away, Isabel moved the television to the lounge. When Isabel wanted to watch the television she looked in the conservatory."
61,4,FB-IC,"Joe and Isabel set up the television in the conservatory.  While Joe was away, Isabel moved the television to the lounge. When Isabel wanted to watch the television she looked in the lounge."
62,1,TB-C,"Joshua and Hannah collected their photos and put them in the envelope.  Later, Joshua saw Hannah move the photos to the album. When Joshua wanted to admire the photos he looked in the album."
62,2,TB-IC,"Joshua and Hannah collected their photos and put them in the envelope.  Later, Joshua saw Hannah move the photos to the album. When Joshua wanted to admire the photos he looked in the envelope."
62,3,FB-C,"Joshua and Hannah collected their photos and put them in the envelope.  While Joshua was distracted, Hannah moved the photos to the album. When Joshua wanted to admire the photos he looked in the envelope."
62,4,FB-IC,"Joshua and Hannah collected their photos and put them in the envelope.  While Joshua was distracted, Hannah moved the photos to the album. When Joshua wanted to admire the photos he looked in the album."
63,1,TB-C,"Abigail and Ethan finished playing and put the doll in the bed.  Later, Abigail noticed Ethan naughtily move the doll to the pram. When Abigail wanted to play with the doll she looked in the pram."
63,2,TB-IC,"Abigail and Ethan finished playing and put the doll in the bed.  Later, Abigail noticed Ethan naughtily move the doll to the pram. When Abigail wanted to play with the doll she looked in the bed."
63,3,FB-C,"Abigail and Ethan finished playing and put the doll in the bed.  While Abigail was eating, Ethan naughtily moved the doll to the pram. When Abigail wanted to play with the doll she looked in the bed."
63,4,FB-IC,"Abigail and Ethan finished playing and put the doll in the bed.  While Abigail was eating, Ethan naughtily moved the doll to the pram. When Abigail wanted to play with the doll she looked in the pram."
64,1,TB-C,"Andrew and Natalie brought the new bicycle home and put it in the shed.  Later, Andrew witnessed Natalie move the bicycle to the yard. When Andrew wanted to try out the bicycle he looked in the yard."
64,2,TB-IC,"Andrew and Natalie brought the new bicycle home and put it in the shed.  Later, Andrew witnessed Natalie move the bicycle to the yard. When Andrew wanted to try out the bicycle he looked in the shed."
64,3,FB-C,"Andrew and Natalie brought the new bicycle home and put it in the shed.  While Andrew was sidetracked, Natalie moved the bicycle to the yard. When Andrew wanted to try out the bicycle he looked in the shed."
64,4,FB-IC,"Andrew and Natalie brought the new bicycle home and put it in the shed.  While Andrew was sidetracked, Natalie moved the bicycle to the yard. When Andrew wanted to try out the bicycle he looked in the yard."
65,1,TB-C,"Leila watered the plants and put the watering can in the garage.  Later, Leila spotted her boyfriend move the watering can to the greenhouse. When Leila wanted to use the watering can she looked in the greenhouse."
65,2,TB-IC,"Leila watered the plants and put the watering can in the garage.  Later, Leila spotted her boyfriend move the watering can to the greenhouse. When Leila wanted to use the watering can she looked in the garage."
65,3,FB-C,"Leila watered the plants and put the watering can in the garage.  While Leila was preoccupied, her boyfriend moved the watering can to the greenhouse. When Leila wanted to use the watering can she looked in the garage."
65,4,FB-IC,"Leila watered the plants and put the watering can in the garage.  While Leila was preoccupied, her boyfriend moved the watering can to the greenhouse. When Leila wanted to use the watering can she looked in the greenhouse."
66,1,TB-C,"Carla picked up the music CD and put it in the rack.  Later, Carla observed Fabio move the CD to the stereo. When Carla wanted to look at the CD she looked in the stereo."
66,2,TB-IC,"Carla picked up the music CD and put it in the rack.  Later, Carla observed Fabio move the CD to the stereo. When Carla wanted to look at the CD she looked in the rack."
66,3,FB-C,"Carla picked up the music CD and put it in the rack.  While Carla was not looking, Fabio moved the CD to the stereo. When Carla wanted to look at the CD she looked in the rack."
66,4,FB-IC,"Carla picked up the music CD and put it in the rack.  While Carla was not looking, Fabio moved the CD to the stereo. When Carla wanted to look at the CD she looked in the stereo."
67,1,TB-C,"Mark bought a pint of lager and put it down on a stool.  Later, Mark noticed the bartender move the pint of lager to the table. When Mark wanted to drink his pint of lager he looked on the table."
67,2,TB-IC,"Mark bought a pint of lager and put it down on a stool.  Later, Mark noticed the bartender move the pint of lager to the table. When Mark wanted to drink his pint of lager he looked on the stool."
67,3,FB-C,"Mark bought a pint of lager and put it down on a stool.  While Mark was at the toilet, the bartender moved the pint of lager to the table. When Mark wanted to drink his pint of lager he looked on the stool."
67,4,FB-IC,"Mark bought a pint of lager and put it down on a stool.  While Mark was at the toilet, the bartender moved the pint of lager to the table. When Mark wanted to drink his pint of lager he looked on the table."
68,1,TB-C,"Cheryl arrived at the pool and put her towel on the floor.  Later, Cheryl witnessed the pool attendant move the towel to the chair. When Cheryl wanted to use her towel she looked on the chair."
68,2,TB-IC,"Cheryl arrived at the pool and put her towel on the floor.  Later, Cheryl witnessed the pool attendant move the towel to the chair. When Cheryl wanted to use her towel she looked on the floor."
68,3,FB-C,"Cheryl arrived at the pool and put her towel on the floor.  While Cheryl was unaware, the pool attendant moved the towel to the chair. When Cheryl wanted to use her towel she looked on the floor."
68,4,FB-IC,"Cheryl arrived at the pool and put her towel on the floor.  While Cheryl was unaware, the pool attendant moved the towel to the chair. When Cheryl wanted to use her towel she looked on the chair."
69,1,TB-C,"Nadine woke up early to make sandwiches and put them in her handbag.  Later, Nadine watched her husband move the sandwiches to the fridge.   When Nadine wanted her sandwiches she looked in the fridge."
69,2,TB-IC,"Nadine woke up early to make sandwiches and put them in her handbag.  Later, Nadine watched her husband move the sandwiches to the fridge.   When Nadine wanted her sandwiches she looked in the handbag."
69,3,FB-C,"Nadine woke up early to make sandwiches and put them in her handbag.  While Nadine was showering, her husband moved the sandwiches to the fridge.   When Nadine wanted her sandwiches she looked in the handbag."
69,4,FB-IC,"Nadine woke up early to make sandwiches and put them in her handbag.  While Nadine was showering, her husband moved the sandwiches to the fridge.   When Nadine wanted her sandwiches she looked in the fridge."
70,1,TB-C,"Robbie took off his bow tie and threw it into the washing basket.  Later, Robbie spotted his dog move the bow tie to the bath. When Robbie wanted to retrieve his bow tie he looked in the bath."
70,2,TB-IC,"Robbie took off his bow tie and threw it into the washing basket.  Later, Robbie spotted his dog move the bow tie to the bath. When Robbie wanted to retrieve his bow tie he looked in the basket."
70,3,FB-C,"Robbie took off his bow tie and threw it into the washing basket.  While Robbie was sleeping, his dog moved the bow tie to the bath. When Robbie wanted to retrieve his bow tie he looked in the basket."
70,4,FB-IC,"Robbie took off his bow tie and threw it into the washing basket.  While Robbie was sleeping, his dog moved the bow tie to the bath. When Robbie wanted to retrieve his bow tie he looked in the bath."
71,1,TB-C,"Nicola brushed her teeth and left the toothpaste in the bathroom.  Later, Nicola saw her flatmate move the toothpaste to the kitchen. When Nicola wanted to use the toothpaste again she looked in the kitchen."
71,2,TB-IC,"Nicola brushed her teeth and left the toothpaste in the bathroom.  Later, Nicola saw her flatmate move the toothpaste to the kitchen. When Nicola wanted to use the toothpaste again she looked in the bathroom."
71,3,FB-C,"Nicola brushed her teeth and left the toothpaste in the bathroom.  While Nicola was not looking, her flatmate moved the toothpaste to the kitchen. When Nicola wanted to use the toothpaste again she looked in the bathroom."
71,4,FB-IC,"Nicola brushed her teeth and left the toothpaste in the bathroom.  While Nicola was not looking, her flatmate moved the toothpaste to the kitchen. When Nicola wanted to use the toothpaste again she looked in the kitchen."
72,1,TB-C,"Jason and Gary arrived at the disco and danced next to the podium all night.  Later, Jason observed Gary move to the bar. When Jason wanted to find Gary he looked next to the bar."
72,2,TB-IC,"Jason and Gary arrived at the disco and danced next to the podium all night.  Later, Jason observed Gary move to the bar. When Jason wanted to find Gary he looked next to the podium."
72,3,FB-C,"Jason and Gary arrived at the disco and danced next to the podium all night.  While Jason went to the toilet, Gary moved to the bar. When Jason wanted to find Gary he looked next to the podium."
72,4,FB-IC,"Jason and Gary arrived at the disco and danced next to the podium all night.  While Jason went to the toilet, Gary moved to the bar. When Jason wanted to find Gary he looked next to the bar."
73,1,TB-C,"Simon framed his graduation certificate and put it in his bedroom.  Later, Simon noticed his Mum move the certificate to the lounge. When Simon wanted to admire his certificate he looked in the lounge."
73,2,TB-IC,"Simon framed his graduation certificate and put it in his bedroom.  Later, Simon noticed his Mum move the certificate to the lounge. When Simon wanted to admire his certificate he looked in the bedroom."
73,3,FB-C,"Simon framed his graduation certificate and put it in his bedroom.  But while Simon was out, his Mum moved the certificate to the lounge. When Simon wanted to admire his certificate he looked in the bedroom."
73,4,FB-IC,"Simon framed his graduation certificate and put it in his bedroom.  But while Simon was out, his Mum moved the certificate to the lounge. When Simon wanted to admire his certificate he looked in the lounge."
74,1,TB-C,"Martine took off her expensive engagement ring and put it on the bookshelf.  Later, Martine witnessed Tony move the ring to the dresser. When Martine wanted to wear the ring she looked on the dresser."
74,2,TB-IC,"Martine took off her expensive engagement ring and put it on the bookshelf.  Later, Martine witnessed Tony move the ring to the dresser. When Martine wanted to wear the ring she looked on the bookshelf."
74,3,FB-C,"Martine took off her expensive engagement ring and put it on the bookshelf.  While Martine was not looking, Tony moved the ring to the dresser. When Martine wanted to wear the ring she looked on the bookshelf."
74,4,FB-IC,"Martine took off her expensive engagement ring and put it on the bookshelf.  While Martine was not looking, Tony moved the ring to the dresser. When Martine wanted to wear the ring she looked on the dresser."
75,1,TB-C,"Ceri folded up her Welsh flag and carefully put into her rucksack.  Later, Ceri watched a friend move the flag to the closet. When Ceri wanted to show off her flag she looked in the closet."
75,2,TB-IC,"Ceri folded up her Welsh flag and carefully put into her rucksack.  Later, Ceri watched a friend move the flag to the closet. When Ceri wanted to show off her flag she looked in the rucksack."
75,3,FB-C,"Ceri folded up her Welsh flag and carefully put into her rucksack.  While Ceri was in the next room, a friend moved the flag to the closet. When Ceri wanted to show off her flag she looked in the rucksack."
75,4,FB-IC,"Ceri folded up her Welsh flag and carefully put into her rucksack.  While Ceri was in the next room, a friend moved the flag to the closet. When Ceri wanted to show off her flag she looked in the closet."
76,1,TB-C,"Sam bought a big bag of sweets shop and put it in the cupboard.  Later, Sam spotted his mother move the bag of sweets to the drawer. When Sam wanted to eat some sweets he looked in the drawer."
76,2,TB-IC,"Sam bought a big bag of sweets shop and put it in the cupboard.  Later, Sam spotted his mother move the bag of sweets to the drawer. When Sam wanted to eat some sweets he looked in the cupboard."
76,3,FB-C,"Sam bought a big bag of sweets shop and put it in the cupboard.  While Sam was out playing, his mother moved the bag of sweets to the drawer. When Sam wanted to eat some sweets he looked in the cupboard."
76,4,FB-IC,"Sam bought a big bag of sweets shop and put it in the cupboard.  While Sam was out playing, his mother moved the bag of sweets to the drawer. When Sam wanted to eat some sweets he looked in the drawer."
77,1,TB-C,"Sally spent the morning playing with a marble and afterwards put it in her basket.  Later, Sally saw Anne move the marble to the box. When Sally wanted to play with her marble she looked in the box."
77,2,TB-IC,"Sally spent the morning playing with a marble and afterwards put it in her basket.  Later, Sally saw Anne move the marble to the box. When Sally wanted to play with her marble she looked in the basket."
77,3,FB-C,"Sally spent the morning playing with a marble and afterwards put it in her basket.  While Sally was out for a walk, Anne moved the marble to the box. When Sally wanted to play with her marble she looked in the basket."
77,4,FB-IC,"Sally spent the morning playing with a marble and afterwards put it in her basket.  While Sally was out for a walk, Anne moved the marble to the box. When Sally wanted to play with her marble she looked in the box."
78,1,TB-C,"Lucile cleaned the test tubes and put them on the desk.  Later, Lucile observed Karen move the test tubes to the rack. When Lucile wanted to use the test tubes she looked on the rack."
78,2,TB-IC,"Lucile cleaned the test tubes and put them on the desk.  Later, Lucile observed Karen move the test tubes to the rack. When Lucile wanted to use the test tubes she looked on the desk."
78,3,FB-C,"Lucile cleaned the test tubes and put them on the desk.  While Lucile was in a meeting, Karen moved the test tubes to the rack. When Lucile wanted to use the test tubes she looked on the desk."
78,4,FB-IC,"Lucile cleaned the test tubes and put them on the desk.  While Lucile was in a meeting, Karen moved the test tubes to the rack. When Lucile wanted to use the test tubes she looked on the rack."
79,1,TB-C,"Wendy counted out the tablets and put the bottle in the storeroom.  Later, Wendy spied Jan move the bottle to the shop. When Wendy wanted to check the bottle she looked in the shop."
79,2,TB-IC,"Wendy counted out the tablets and put the bottle in the storeroom.  Later, Wendy spied Jan move the bottle to the shop. When Wendy wanted to check the bottle she looked in the storeroom."
79,3,FB-C,"Wendy counted out the tablets and put the bottle in the storeroom.  While Wendy was out for her lunch break, Jan moved the bottle to the shop. When Wendy wanted to check the bottle she looked in the storeroom."
79,4,FB-IC,"Wendy counted out the tablets and put the bottle in the storeroom.  While Wendy was out for her lunch break, Jan moved the bottle to the shop. When Wendy wanted to check the bottle she looked in the shop."
80,1,TB-C,"David priced the gifts in the shop and put the remaining labels in the bin.  Later, David noticed his colleague move the labels to the till. When David wanted to examine the labels he looked in the till."
80,2,TB-IC,"David priced the gifts in the shop and put the remaining labels in the bin.  Later, David noticed his colleague move the labels to the till. When David wanted to examine the labels he looked in the bin."
80,3,FB-C,"David priced the gifts in the shop and put the remaining labels in the bin.  While David was out the shop, his colleague moved the labels to the till. When David wanted to examine the labels he looked in the bin."
80,4,FB-IC,"David priced the gifts in the shop and put the remaining labels in the bin.  While David was out the shop, his colleague moved the labels to the till. When David wanted to examine the labels he looked in the till."
81,1,TB-C,"Kerri-lee finished her experiment and hung her lab coat up in the corridor.  Later, Kerry-lee witnessed Sian move the lab coat to the office. When Kerry-lee wanted to wear the lab coat she looked in the office."
81,2,TB-IC,"Kerri-lee finished her experiment and hung her lab coat up in the corridor.  Later, Kerry-lee witnessed Sian move the lab coat to the office. When Kerry-lee wanted to wear the lab coat she looked in the corridor."
81,3,FB-C,"Kerri-lee finished her experiment and hung her lab coat up in the corridor.  While Kerry-lee was out for coffee, Sian moved the lab coat to the office. When Kerry-lee wanted to wear the lab coat she looked in the corridor."
81,4,FB-IC,"Kerri-lee finished her experiment and hung her lab coat up in the corridor.  While Kerry-lee was out for coffee, Sian moved the lab coat to the office. When Kerry-lee wanted to wear the lab coat she looked in the office."
82,1,TB-C,"The professor marked the essays and put them on her desk.  Later, the professor watched the secretary move the essays to the bookshelf. When the professor wanted to check the essays she looked on the bookshelf."
82,2,TB-IC,"The professor marked the essays and put them on her desk.  Later, the professor watched the secretary move the essays to the bookshelf. When the professor wanted to check the essays she looked on the desk."
82,3,FB-C,"The professor marked the essays and put them on her desk.  While the professor was out teaching, the secretary moved the essays to the bookshelf. When the professor wanted to check the essays she looked on the desk."
82,4,FB-IC,"The professor marked the essays and put them on her desk.  While the professor was out teaching, the secretary moved the essays to the bookshelf. When the professor wanted to check the essays she looked on the bookshelf."
83,1,TB-C,"Dirk switched off his laptop and put it in his drawer.  Later, Dirk spotted Arwyn move the laptop to the safe. When Dirk wanted to use his laptop he looked in the safe."
83,2,TB-IC,"Dirk switched off his laptop and put it in his drawer.  Later, Dirk spotted Arwyn move the laptop to the safe. When Dirk wanted to use his laptop he looked in the drawer."
83,3,FB-C,"Dirk switched off his laptop and put it in his drawer.  While Dirk was out walking the dog, Arwyn moved the laptop to the safe. When Dirk wanted to use his laptop he looked in the drawer."
83,4,FB-IC,"Dirk switched off his laptop and put it in his drawer.  While Dirk was out walking the dog, Arwyn moved the laptop to the safe. When Dirk wanted to use his laptop he looked in the safe."
84,1,TB-C,"Neal quickly took off his wellies and put them in the hall.  Later, Neal saw Martha move the wellies to the garage. When Neal wanted to wear his wellies he looked in the garage."
84,2,TB-IC,"Neal quickly took off his wellies and put them in the hall.  Later, Neal saw Martha move the wellies to the garage. When Neal wanted to wear his wellies he looked in the hall."
84,3,FB-C,"Neal quickly took off his wellies and put them in the hall.  While Neal was sleeping, Martha moved the wellies to the garage. When Neal wanted to wear his wellies he looked in the hall."
84,4,FB-IC,"Neal quickly took off his wellies and put them in the hall.  While Neal was sleeping, Martha moved the wellies to the garage. When Neal wanted to wear his wellies he looked in the garage."
85,1,TB-C,"Lorraine took off her pink coat and hung it on the back of her chair.  Later, Lorraine observed John move the coat to the peg. When Lorraine wanted to wear her coat she looked on the peg."
85,2,TB-IC,"Lorraine took off her pink coat and hung it on the back of her chair.  Later, Lorraine observed John move the coat to the peg. When Lorraine wanted to wear her coat she looked on the chair."
85,3,FB-C,"Lorraine took off her pink coat and hung it on the back of her chair.  While Lorraine was distracted, John moved the coat to the peg. When Lorraine wanted to wear her coat she looked on the chair."
85,4,FB-IC,"Lorraine took off her pink coat and hung it on the back of her chair.  While Lorraine was distracted, John moved the coat to the peg. When Lorraine wanted to wear her coat she looked on the peg."
86,1,TB-C,"Moira took off the horse’s bridle and hung it on the door.  Later, Moira spied the farmer move the bridle to the stool. When Moira wanted to clean the bridle she looked on the stool."
86,2,TB-IC,"Moira took off the horse’s bridle and hung it on the door.  Later, Moira spied the farmer move the bridle to the stool. When Moira wanted to clean the bridle she looked on the door."
