,Unnamed: 0,item,a,b,real,alt,passage,condition,first_mention,mentions_real,mentions_alt,stim_number,knowledge_cue,log_odds
67,67,candy,Sonja,Emily,bottom,top,"It is Sonja's birthday, and their auntie pops in to give them a box of candy. Sonja considers the top drawer, but then puts the candy in the bottom drawer for safe-keeping. A few minutes later, Sonja's greedy sibling Emily comes in and asks Sonja: “Where have you put your candy, in your bottom drawer or your top drawer?” Sonja does not want Emily to find the candy. Sonja says the candy are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit,0.8613853492820016
68,68,candy,Ben,Emily,top,bottom,"It is Ben's birthday, and their auntie pops in to give them a box of candy. Ben considers the bottom drawer, but then puts the candy in the top drawer for safe-keeping. A few minutes later, Ben's greedy sibling Emily comes in and asks Ben: “Where have you put your candy, in your top drawer or your bottom drawer?” Ben does not want Emily to find the candy. Ben says the candy are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit,-1.8939485406391252
69,69,candy,Ben,Emily,bottom,top,"It is Ben's birthday, and their auntie pops in to give them a box of candy. Ben considers the top drawer, but then puts the candy in the bottom drawer for safe-keeping. A few minutes later, Ben's greedy sibling Emily comes in and asks Ben: “Where have you put your candy, in your bottom drawer or your top drawer?” Ben does not want Emily to find the candy. Ben says the candy are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit,0.04264353988655268
70,70,candy,Ben,Marta,top,bottom,"It is Ben's birthday, and their auntie pops in to give them a box of candy. Ben considers the bottom drawer, but then puts the candy in the top drawer for safe-keeping. A few minutes later, Ben's greedy sibling Marta comes in and asks Ben: “Where have you put your candy, in your top drawer or your bottom drawer?” Ben does not want Marta to find the candy. Ben says the candy are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit,-1.8865756517596817
71,71,candy,Ben,Marta,bottom,top,"It is Ben's birthday, and their auntie pops in to give them a box of candy. Ben considers the top drawer, but then puts the candy in the bottom drawer for safe-keeping. A few minutes later, Ben's greedy sibling Marta comes in and asks Ben: “Where have you put your candy, in your bottom drawer or your top drawer?” Ben does not want Marta to find the candy. Ben says the candy are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit,-0.0006399710670032582
72,72,chocolates,Emily,Antonio,top,bottom,"It is Emily's birthday, and their auntie pops in to give her a box of chocolates. Emily considers the bottom drawer, but then puts chocolates in the top drawer for safe-keeping. A few minutes later, Emily's sweet sibling Antonio comes in and asks Emily: “Where have you put your chocolates, in your top drawer or your bottom drawer?” Emily wants to share the chocolates with Antonio. Emily says the chocolates are in the [MASK] drawer.",Cooperation,Alt,2,2,1,Explicit,-1.1098518679292422
73,73,chocolates,Emily,Antonio,bottom,top,"It is Emily's birthday, and their auntie pops in to give her a box of chocolates. Emily considers the top drawer, but then puts chocolates in the bottom drawer for safe-keeping. A few minutes later, Emily's sweet sibling Antonio comes in and asks Emily: “Where have you put your chocolates, in your bottom drawer or your top drawer?” Emily wants to share the chocolates with Antonio. Emily says the chocolates are in the [MASK] drawer.",Cooperation,Alt,2,2,1,Explicit,1.1356992248192894
74,74,chocolates,Emily,Cameron,top,bottom,"It is Emily's birthday, and their auntie pops in to give her a box of chocolates. Emily considers the bottom drawer, but then puts chocolates in the top drawer for safe-keeping. A few minutes later, Emily's sweet sibling Cameron comes in and asks Emily: “Where have you put your chocolates, in your top drawer or your bottom drawer?” Emily wants to share the chocolates with Cameron. Emily says the chocolates are in the [MASK] drawer.",Cooperation,Alt,2,2,1,Explicit,-1.0677433307909414
75,75,chocolates,Emily,Cameron,bottom,top,"It is Emily's birthday, and their auntie pops in to give her a box of chocolates. Emily considers the top drawer, but then puts chocolates in the bottom drawer for safe-keeping. A few minutes later, Emily's sweet sibling Cameron comes in and asks Emily: “Where have you put your chocolates, in your bottom drawer or your top drawer?” Emily wants to share the chocolates with Cameron. Emily says the chocolates are in the [MASK] drawer.",Cooperation,Alt,2,2,1,Explicit,1.1571331309286133
76,76,chocolates,Lisa,Pamela,top,bottom,"It is Lisa's birthday, and their auntie pops in to give her a box of chocolates. Lisa considers the bottom drawer, but then puts chocolates in the top drawer for safe-keeping. A few minutes later, Lisa's sweet sibling Pamela comes in and asks Lisa: “Where have you put your chocolates, in your top drawer or your bottom drawer?” Lisa wants to share the chocolates with Pamela. Lisa says the chocolates are in the [MASK] drawer.",Cooperation,Alt,2,2,1,Explicit,-1.574217829718116
77,77,chocolates,Lisa,Pamela,bottom,top,"It is Lisa's birthday, and their auntie pops in to give her a box of chocolates. Lisa considers the top drawer, but then puts chocolates in the bottom drawer for safe-keeping. A few minutes later, Lisa's sweet sibling Pamela comes in and asks Lisa: “Where have you put your chocolates, in your bottom drawer or your top drawer?” Lisa wants to share the chocolates with Pamela. Lisa says the chocolates are in the [MASK] drawer.",Cooperation,Alt,2,2,1,Explicit,0.36835293554018567
78,78,chocolates,Lisa,Cameron,top,bottom,"It is Lisa's birthday, and their auntie pops in to give her a box of chocolates. Lisa considers the bottom drawer, but then puts chocolates in the top drawer for safe-keeping. A few minutes later, Lisa's sweet sibling Cameron comes in and asks Lisa: “Where have you put your chocolates, in your top drawer or your bottom drawer?” Lisa wants to share the chocolates with Cameron. Lisa says the chocolates are in the [MASK] drawer.",Cooperation,Alt,2,2,1,Explicit,-1.2684535751642008
79,79,chocolates,Lisa,Cameron,bottom,top,"It is Lisa's birthday, and their auntie pops in to give her a box of chocolates. Lisa considers the top drawer, but then puts chocolates in the bottom drawer for safe-keeping. A few minutes later, Lisa's sweet sibling Cameron comes in and asks Lisa: “Where have you put your chocolates, in your bottom drawer or your top drawer?” Lisa wants to share the chocolates with Cameron. Lisa says the chocolates are in the [MASK] drawer.",Cooperation,Alt,2,2,1,Explicit,0.6625041947790425
80,80,sweets,James,Cameron,top,bottom,"It is James's birthday, and their auntie pops in to give her a box of sweets. James considers the bottom drawer, but then puts sweets in the top drawer for safe-keeping. A few minutes later, James's sweet sibling Cameron comes in and asks James: “Where have you put your sweets, in your top drawer or your bottom drawer?” James wants to share the sweets with Cameron. James says the sweets are in the [MASK] drawer.",Cooperation,Alt,2,2,1,Explicit,-1.8384037420905162
81,81,sweets,James,Cameron,bottom,top,"It is James's birthday, and their auntie pops in to give her a box of sweets. James considers the top drawer, but then puts sweets in the bottom drawer for safe-keeping. A few minutes later, James's sweet sibling Cameron comes in and asks James: “Where have you put your sweets, in your bottom drawer or your top drawer?” James wants to share the sweets with Cameron. James says the sweets are in the [MASK] drawer.",Cooperation,Alt,2,2,1,Explicit,0.5450486966863494
82,82,sweets,James,Sean,top,bottom,"It is James's birthday, and their auntie pops in to give her a box of sweets. James considers the bottom drawer, but then puts sweets in the top drawer for safe-keeping. A few minutes later, James's sweet sibling Sean comes in and asks James: “Where have you put your sweets, in your top drawer or your bottom drawer?” James wants to share the sweets with Sean. James says the sweets are in the [MASK] drawer.",Cooperation,Alt,2,2,1,Explicit,-1.8256264517067882
83,83,sweets,James,Sean,bottom,top,"It is James's birthday, and their auntie pops in to give her a box of sweets. James considers the top drawer, but then puts sweets in the bottom drawer for safe-keeping. A few minutes later, James's sweet sibling Sean comes in and asks James: “Where have you put your sweets, in your bottom drawer or your top drawer?” James wants to share the sweets with Sean. James says the sweets are in the [MASK] drawer.",Cooperation,Alt,2,2,1,Explicit,0.5570506315469037
84,84,sweets,Catherine,Tyler,top,bottom,"It is Catherine's birthday, and their auntie pops in to give her a box of sweets. Catherine considers the bottom drawer, but then puts sweets in the top drawer for safe-keeping. A few minutes later, Catherine's sweet sibling Tyler comes in and asks Catherine: “Where have you put your sweets, in your top drawer or your bottom drawer?” Catherine wants to share the sweets with Tyler. Catherine says the sweets are in the [MASK] drawer.",Cooperation,Alt,2,2,1,Explicit,-2.42396262086718
85,85,sweets,Catherine,Tyler,bottom,top,"It is Catherine's birthday, and their auntie pops in to give her a box of sweets. Catherine considers the top drawer, but then puts sweets in the bottom drawer for safe-keeping. A few minutes later, Catherine's sweet sibling Tyler comes in and asks Catherine: “Where have you put your sweets, in your bottom drawer or your top drawer?” Catherine wants to share the sweets with Tyler. Catherine says the sweets are in the [MASK] drawer.",Cooperation,Alt,2,2,1,Explicit,0.29576590890506493
86,86,sweets,Catherine,Antonio,top,bottom,"It is Catherine's birthday, and their auntie pops in to give her a box of sweets. Catherine considers the bottom drawer, but then puts sweets in the top drawer for safe-keeping. A few minutes later, Catherine's sweet sibling Antonio comes in and asks Catherine: “Where have you put your sweets, in your top drawer or your bottom drawer?” Catherine wants to share the sweets with Antonio. Catherine says the sweets are in the [MASK] drawer.",Cooperation,Alt,2,2,1,Explicit,-2.561915461697744
87,87,sweets,Catherine,Antonio,bottom,top,"It is Catherine's birthday, and their auntie pops in to give her a box of sweets. Catherine considers the top drawer, but then puts sweets in the bottom drawer for safe-keeping. A few minutes later, Catherine's sweet sibling Antonio comes in and asks Catherine: “Where have you put your sweets, in your bottom drawer or your top drawer?” Catherine wants to share the sweets with Antonio. Catherine says the sweets are in the [MASK] drawer.",Cooperation,Alt,2,2,1,Explicit,0.2221803245878848
88,88,candy,Pamela,Cameron,top,bottom,"It is Pamela's birthday, and their auntie pops in to give her a box of candy. Pamela considers the bottom drawer, but then puts candy in the top drawer for safe-keeping. A few minutes later, Pamela's sweet sibling Cameron comes in and asks Pamela: “Where have you put your candy, in your top drawer or your bottom drawer?” Pamela wants to share the candy with Cameron. Pamela says the candy are in the [MASK] drawer.",Cooperation,Alt,2,2,1,Explicit,-2.8201465257853955
89,89,candy,Pamela,Cameron,bottom,top,"It is Pamela's birthday, and their auntie pops in to give her a box of candy. Pamela considers the top drawer, but then puts candy in the bottom drawer for safe-keeping. A few minutes later, Pamela's sweet sibling Cameron comes in and asks Pamela: “Where have you put your candy, in your bottom drawer or your top drawer?” Pamela wants to share the candy with Cameron. Pamela says the candy are in the [MASK] drawer.",Cooperation,Alt,2,2,1,Explicit,-0.23001671020123687
90,90,candy,Pamela,Lisa,top,bottom,"It is Pamela's birthday, and their auntie pops in to give her a box of candy. Pamela considers the bottom drawer, but then puts candy in the top drawer for safe-keeping. A few minutes later, Pamela's sweet sibling Lisa comes in and asks Pamela: “Where have you put your candy, in your top drawer or your bottom drawer?” Pamela wants to share the candy with Lisa. Pamela says the candy are in the [MASK] drawer.",Cooperation,Alt,2,2,1,Explicit,-2.796765300469444
91,91,candy,Pamela,Lisa,bottom,top,"It is Pamela's birthday, and their auntie pops in to give her a box of candy. Pamela considers the top drawer, but then puts candy in the bottom drawer for safe-keeping. A few minutes later, Pamela's sweet sibling Lisa comes in and asks Pamela: “Where have you put your candy, in your bottom drawer or your top drawer?” Pamela wants to share the candy with Lisa. Pamela says the candy are in the [MASK] drawer.",Cooperation,Alt,2,2,1,Explicit,-0.45317270248354174
92,92,candy,Ben,Lisa,top,bottom,"It is Ben's birthday, and their auntie pops in to give her a box of candy. Ben considers the bottom drawer, but then puts candy in the top drawer for safe-keeping. A few minutes later, Ben's sweet sibling Lisa comes in and asks Ben: “Where have you put your candy, in your top drawer or your bottom drawer?” Ben wants to share the candy with Lisa. Ben says the candy are in the [MASK] drawer.",Cooperation,Alt,2,2,1,Explicit,-2.3855571654259764
93,93,candy,Ben,Lisa,bottom,top,"It is Ben's birthday, and their auntie pops in to give her a box of candy. Ben considers the top drawer, but then puts candy in the bottom drawer for safe-keeping. A few minutes later, Ben's sweet sibling Lisa comes in and asks Ben: “Where have you put your candy, in your bottom drawer or your top drawer?” Ben wants to share the candy with Lisa. Ben says the candy are in the [MASK] drawer.",Cooperation,Alt,2,2,1,Explicit,-0.47669411344648666
94,94,candy,Ben,Cameron,top,bottom,"It is Ben's birthday, and their auntie pops in to give her a box of candy. Ben considers the bottom drawer, but then puts candy in the top drawer for safe-keeping. A few minutes later, Ben's sweet sibling Cameron comes in and asks Ben: “Where have you put your candy, in your top drawer or your bottom drawer?” Ben wants to share the candy with Cameron. Ben says the candy are in the [MASK] drawer.",Cooperation,Alt,2,2,1,Explicit,-2.2190828526993602
95,95,candy,Ben,Cameron,bottom,top,"It is Ben's birthday, and their auntie pops in to give her a box of candy. Ben considers the top drawer, but then puts candy in the bottom drawer for safe-keeping. A few minutes later, Ben's sweet sibling Cameron comes in and asks Ben: “Where have you put your candy, in your bottom drawer or your top drawer?” Ben wants to share the candy with Cameron. Ben says the candy are in the [MASK] drawer.",Cooperation,Alt,2,2,1,Explicit,-0.30197337076688857
96,96,chocolates,Marta,Ben,top,bottom,"It is Marta's birthday, and their auntie pops in to give them a box of chocolates. Marta puts the chocolates in the top drawer for safe-keeping, because it's easier to reach than the bottom drawer. A few minutes later, Marta's greedy sibling Ben comes in and asks Marta: “Where have you put your chocolates, in your top drawer or your bottom drawer?” Marta does not want Ben to find the chocolates. Marta says the chocolates are in the [MASK] drawer.",Deception,Real,2,2,1,Explicit,0.07993700540941866
97,97,chocolates,Marta,Ben,bottom,top,"It is Marta's birthday, and their auntie pops in to give them a box of chocolates. Marta puts the chocolates in the bottom drawer for safe-keeping, because it's easier to reach than the top drawer. A few minutes later, Marta's greedy sibling Ben comes in and asks Marta: “Where have you put your chocolates, in your bottom drawer or your top drawer?” Marta does not want Ben to find the chocolates. Marta says the chocolates are in the [MASK] drawer.",Deception,Real,2,2,1,Explicit,2.7823743624623405
98,98,chocolates,Marta,Sonja,top,bottom,"It is Marta's birthday, and their auntie pops in to give them a box of chocolates. Marta puts the chocolates in the top drawer for safe-keeping, because it's easier to reach than the bottom drawer. A few minutes later, Marta's greedy sibling Sonja comes in and asks Marta: “Where have you put your chocolates, in your top drawer or your bottom drawer?” Marta does not want Sonja to find the chocolates. Marta says the chocolates are in the [MASK] drawer.",Deception,Real,2,2,1,Explicit,0.5055599162756953
99,99,chocolates,Marta,Sonja,bottom,top,"It is Marta's birthday, and their auntie pops in to give them a box of chocolates. Marta puts the chocolates in the bottom drawer for safe-keeping, because it's easier to reach than the top drawer. A few minutes later, Marta's greedy sibling Sonja comes in and asks Marta: “Where have you put your chocolates, in your bottom drawer or your top drawer?” Marta does not want Sonja to find the chocolates. Marta says the chocolates are in the [MASK] drawer.",Deception,Real,2,2,1,Explicit,2.9137573298171637
100,100,chocolates,Sonja,Catherine,top,bottom,"It is Sonja's birthday, and their auntie pops in to give them a box of chocolates. Sonja puts the chocolates in the top drawer for safe-keeping, because it's easier to reach than the bottom drawer. A few minutes later, Sonja's greedy sibling Catherine comes in and asks Sonja: “Where have you put your chocolates, in your top drawer or your bottom drawer?” Sonja does not want Catherine to find the chocolates. Sonja says the chocolates are in the [MASK] drawer.",Deception,Real,2,2,1,Explicit,0.8449267794470096
101,101,chocolates,Sonja,Catherine,bottom,top,"It is Sonja's birthday, and their auntie pops in to give them a box of chocolates. Sonja puts the chocolates in the bottom drawer for safe-keeping, because it's easier to reach than the top drawer. A few minutes later, Sonja's greedy sibling Catherine comes in and asks Sonja: “Where have you put your chocolates, in your bottom drawer or your top drawer?” Sonja does not want Catherine to find the chocolates. Sonja says the chocolates are in the [MASK] drawer.",Deception,Real,2,2,1,Explicit,3.4841670884034266
102,102,chocolates,Sonja,Cameron,top,bottom,"It is Sonja's birthday, and their auntie pops in to give them a box of chocolates. Sonja puts the chocolates in the top drawer for safe-keeping, because it's easier to reach than the bottom drawer. A few minutes later, Sonja's greedy sibling Cameron comes in and asks Sonja: “Where have you put your chocolates, in your top drawer or your bottom drawer?” Sonja does not want Cameron to find the chocolates. Sonja says the chocolates are in the [MASK] drawer.",Deception,Real,2,2,1,Explicit,0.6576223599245755
103,103,chocolates,Sonja,Cameron,bottom,top,"It is Sonja's birthday, and their auntie pops in to give them a box of chocolates. Sonja puts the chocolates in the bottom drawer for safe-keeping, because it's easier to reach than the top drawer. A few minutes later, Sonja's greedy sibling Cameron comes in and asks Sonja: “Where have you put your chocolates, in your bottom drawer or your top drawer?” Sonja does not want Cameron to find the chocolates. Sonja says the chocolates are in the [MASK] drawer.",Deception,Real,2,2,1,Explicit,3.426381172314043
104,104,sweets,Tyler,Sean,top,bottom,"It is Tyler's birthday, and their auntie pops in to give them a box of sweets. Tyler puts the sweets in the top drawer for safe-keeping, because it's easier to reach than the bottom drawer. A few minutes later, Tyler's greedy sibling Sean comes in and asks Tyler: “Where have you put your sweets, in your top drawer or your bottom drawer?” Tyler does not want Sean to find the sweets. Tyler says the sweets are in the [MASK] drawer.",Deception,Real,2,2,1,Explicit,-0.17224406024369499
105,105,sweets,Tyler,Sean,bottom,top,"It is Tyler's birthday, and their auntie pops in to give them a box of sweets. Tyler puts the sweets in the bottom drawer for safe-keeping, because it's easier to reach than the top drawer. A few minutes later, Tyler's greedy sibling Sean comes in and asks Tyler: “Where have you put your sweets, in your bottom drawer or your top drawer?” Tyler does not want Sean to find the sweets. Tyler says the sweets are in the [MASK] drawer.",Deception,Real,2,2,1,Explicit,2.362209321858847
106,106,sweets,Tyler,Catherine,top,bottom,"It is Tyler's birthday, and their auntie pops in to give them a box of sweets. Tyler puts the sweets in the top drawer for safe-keeping, because it's easier to reach than the bottom drawer. A few minutes later, Tyler's greedy sibling Catherine comes in and asks Tyler: “Where have you put your sweets, in your top drawer or your bottom drawer?” Tyler does not want Catherine to find the sweets. Tyler says the sweets are in the [MASK] drawer.",Deception,Real,2,2,1,Explicit,-0.33996682885242085
107,107,sweets,Tyler,Catherine,bottom,top,"It is Tyler's birthday, and their auntie pops in to give them a box of sweets. Tyler puts the sweets in the bottom drawer for safe-keeping, because it's easier to reach than the top drawer. A few minutes later, Tyler's greedy sibling Catherine comes in and asks Tyler: “Where have you put your sweets, in your bottom drawer or your top drawer?” Tyler does not want Catherine to find the sweets. Tyler says the sweets are in the [MASK] drawer.",Deception,Real,2,2,1,Explicit,2.6797389845156747
108,108,sweets,Cameron,Marta,top,bottom,"It is Cameron's birthday, and their auntie pops in to give them a box of sweets. Cameron puts the sweets in the top drawer for safe-keeping, because it's easier to reach than the bottom drawer. A few minutes later, Cameron's greedy sibling Marta comes in and asks Cameron: “Where have you put your sweets, in your top drawer or your bottom drawer?” Cameron does not want Marta to find the sweets. Cameron says the sweets are in the [MASK] drawer.",Deception,Real,2,2,1,Explicit,-0.07457540552956667
109,109,sweets,Cameron,Marta,bottom,top,"It is Cameron's birthday, and their auntie pops in to give them a box of sweets. Cameron puts the sweets in the bottom drawer for safe-keeping, because it's easier to reach than the top drawer. A few minutes later, Cameron's greedy sibling Marta comes in and asks Cameron: “Where have you put your sweets, in your bottom drawer or your top drawer?” Cameron does not want Marta to find the sweets. Cameron says the sweets are in the [MASK] drawer.",Deception,Real,2,2,1,Explicit,2.8322763387438274
110,110,sweets,Cameron,Lisa,top,bottom,"It is Cameron's birthday, and their auntie pops in to give them a box of sweets. Cameron puts the sweets in the top drawer for safe-keeping, because it's easier to reach than the bottom drawer. A few minutes later, Cameron's greedy sibling Lisa comes in and asks Cameron: “Where have you put your sweets, in your top drawer or your bottom drawer?” Cameron does not want Lisa to find the sweets. Cameron says the sweets are in the [MASK] drawer.",Deception,Real,2,2,1,Explicit,0.2721700927255306
111,111,sweets,Cameron,Lisa,bottom,top,"It is Cameron's birthday, and their auntie pops in to give them a box of sweets. Cameron puts the sweets in the bottom drawer for safe-keeping, because it's easier to reach than the top drawer. A few minutes later, Cameron's greedy sibling Lisa comes in and asks Cameron: “Where have you put your sweets, in your bottom drawer or your top drawer?” Cameron does not want Lisa to find the sweets. Cameron says the sweets are in the [MASK] drawer.",Deception,Real,2,2,1,Explicit,2.6623792084848525
112,112,candy,Lisa,Cameron,top,bottom,"It is Lisa's birthday, and their auntie pops in to give them a box of candy. Lisa puts the candy in the top drawer for safe-keeping, because it's easier to reach than the bottom drawer. A few minutes later, Lisa's greedy sibling Cameron comes in and asks Lisa: “Where have you put your candy, in your top drawer or your bottom drawer?” Lisa does not want Cameron to find the candy. Lisa says the candy are in the [MASK] drawer.",Deception,Real,2,2,1,Explicit,-1.0956086867928365
113,113,candy,Lisa,Cameron,bottom,top,"It is Lisa's birthday, and their auntie pops in to give them a box of candy. Lisa puts the candy in the bottom drawer for safe-keeping, because it's easier to reach than the top drawer. A few minutes later, Lisa's greedy sibling Cameron comes in and asks Lisa: “Where have you put your candy, in your bottom drawer or your top drawer?” Lisa does not want Cameron to find the candy. Lisa says the candy are in the [MASK] drawer.",Deception,Real,2,2,1,Explicit,1.6550149862005923
114,114,candy,Lisa,Sean,top,bottom,"It is Lisa's birthday, and their auntie pops in to give them a box of candy. Lisa puts the candy in the top drawer for safe-keeping, because it's easier to reach than the bottom drawer. A few minutes later, Lisa's greedy sibling Sean comes in and asks Lisa: “Where have you put your candy, in your top drawer or your bottom drawer?” Lisa does not want Sean to find the candy. Lisa says the candy are in the [MASK] drawer.",Deception,Real,2,2,1,Explicit,-0.9492369339911021
115,115,candy,Lisa,Sean,bottom,top,"It is Lisa's birthday, and their auntie pops in to give them a box of candy. Lisa puts the candy in the bottom drawer for safe-keeping, because it's easier to reach than the top drawer. A few minutes later, Lisa's greedy sibling Sean comes in and asks Lisa: “Where have you put your candy, in your bottom drawer or your top drawer?” Lisa does not want Sean to find the candy. Lisa says the candy are in the [MASK] drawer.",Deception,Real,2,2,1,Explicit,1.659671754412751
116,116,candy,Marta,Pamela,top,bottom,"It is Marta's birthday, and their auntie pops in to give them a box of candy. Marta puts the candy in the top drawer for safe-keeping, because it's easier to reach than the bottom drawer. A few minutes later, Marta's greedy sibling Pamela comes in and asks Marta: “Where have you put your candy, in your top drawer or your bottom drawer?” Marta does not want Pamela to find the candy. Marta says the candy are in the [MASK] drawer.",Deception,Real,2,2,1,Explicit,-1.1846981273706887
117,117,candy,Marta,Pamela,bottom,top,"It is Marta's birthday, and their auntie pops in to give them a box of candy. Marta puts the candy in the bottom drawer for safe-keeping, because it's easier to reach than the top drawer. A few minutes later, Marta's greedy sibling Pamela comes in and asks Marta: “Where have you put your candy, in your bottom drawer or your top drawer?” Marta does not want Pamela to find the candy. Marta says the candy are in the [MASK] drawer.",Deception,Real,2,2,1,Explicit,1.9769611079146352
118,118,candy,Marta,Ben,top,bottom,"It is Marta's birthday, and their auntie pops in to give them a box of candy. Marta puts the candy in the top drawer for safe-keeping, because it's easier to reach than the bottom drawer. A few minutes later, Marta's greedy sibling Ben comes in and asks Marta: “Where have you put your candy, in your top drawer or your bottom drawer?” Marta does not want Ben to find the candy. Marta says the candy are in the [MASK] drawer.",Deception,Real,2,2,1,Explicit,-0.7927331266932602
119,119,candy,Marta,Ben,bottom,top,"It is Marta's birthday, and their auntie pops in to give them a box of candy. Marta puts the candy in the bottom drawer for safe-keeping, because it's easier to reach than the top drawer. A few minutes later, Marta's greedy sibling Ben comes in and asks Marta: “Where have you put your candy, in your bottom drawer or your top drawer?” Marta does not want Ben to find the candy. Marta says the candy are in the [MASK] drawer.",Deception,Real,2,2,1,Explicit,2.0236148212179383
120,120,chocolates,Tyler,Ben,top,bottom,"It is Tyler's birthday, and their auntie pops in to give her a box of chocolates. Tyler puts chocolates in the top drawer for safe-keeping, because it's easier to reach than the bottom drawer. A few minutes later, Tyler's sweet sibling Ben comes in and asks Tyler: “Where have you put your chocolates, in your top drawer or your bottom drawer?” Tyler wants to share the chocolates with Ben. Tyler says the chocolates are in the [MASK] drawer.",Cooperation,Real,2,2,1,Explicit,0.5172509814958128
121,121,chocolates,Tyler,Ben,bottom,top,"It is Tyler's birthday, and their auntie pops in to give her a box of chocolates. Tyler puts chocolates in the bottom drawer for safe-keeping, because it's easier to reach than the top drawer. A few minutes later, Tyler's sweet sibling Ben comes in and asks Tyler: “Where have you put your chocolates, in your bottom drawer or your top drawer?” Tyler wants to share the chocolates with Ben. Tyler says the chocolates are in the [MASK] drawer.",Cooperation,Real,2,2,1,Explicit,2.69577212101589
122,122,chocolates,Tyler,Pamela,top,bottom,"It is Tyler's birthday, and their auntie pops in to give her a box of chocolates. Tyler puts chocolates in the top drawer for safe-keeping, because it's easier to reach than the bottom drawer. A few minutes later, Tyler's sweet sibling Pamela comes in and asks Tyler: “Where have you put your chocolates, in your top drawer or your bottom drawer?” Tyler wants to share the chocolates with Pamela. Tyler says the chocolates are in the [MASK] drawer.",Cooperation,Real,2,2,1,Explicit,0.48869033671190354
123,123,chocolates,Tyler,Pamela,bottom,top,"It is Tyler's birthday, and their auntie pops in to give her a box of chocolates. Tyler puts chocolates in the bottom drawer for safe-keeping, because it's easier to reach than the top drawer. A few minutes later, Tyler's sweet sibling Pamela comes in and asks Tyler: “Where have you put your chocolates, in your bottom drawer or your top drawer?” Tyler wants to share the chocolates with Pamela. Tyler says the chocolates are in the [MASK] drawer.",Cooperation,Real,2,2,1,Explicit,2.132177398602004
124,124,chocolates,Ben,Cameron,top,bottom,"It is Ben's birthday, and their auntie pops in to give her a box of chocolates. Ben puts chocolates in the top drawer for safe-keeping, because it's easier to reach than the bottom drawer. A few minutes later, Ben's sweet sibling Cameron comes in and asks Ben: “Where have you put your chocolates, in your top drawer or your bottom drawer?” Ben wants to share the chocolates with Cameron. Ben says the chocolates are in the [MASK] drawer.",Cooperation,Real,2,2,1,Explicit,0.5276450730025346
125,125,chocolates,Ben,Cameron,bottom,top,"It is Ben's birthday, and their auntie pops in to give her a box of chocolates. Ben puts chocolates in the bottom drawer for safe-keeping, because it's easier to reach than the top drawer. A few minutes later, Ben's sweet sibling Cameron comes in and asks Ben: “Where have you put your chocolates, in your bottom drawer or your top drawer?” Ben wants to share the chocolates with Cameron. Ben says the chocolates are in the [MASK] drawer.",Cooperation,Real,2,2,1,Explicit,2.025922717453254
126,126,chocolates,Ben,Sean,top,bottom,"It is Ben's birthday, and their auntie pops in to give her a box of chocolates. Ben puts chocolates in the top drawer for safe-keeping, because it's easier to reach than the bottom drawer. A few minutes later, Ben's sweet sibling Sean comes in and asks Ben: “Where have you put your chocolates, in your top drawer or your bottom drawer?” Ben wants to share the chocolates with Sean. Ben says the chocolates are in the [MASK] drawer.",Cooperation,Real,2,2,1,Explicit,0.6925907366585246
127,127,chocolates,Ben,Sean,bottom,top,"It is Ben's birthday, and their auntie pops in to give her a box of chocolates. Ben puts chocolates in the bottom drawer for safe-keeping, because it's easier to reach than the top drawer. A few minutes later, Ben's sweet sibling Sean comes in and asks Ben: “Where have you put your chocolates, in your bottom drawer or your top drawer?” Ben wants to share the chocolates with Sean. Ben says the chocolates are in the [MASK] drawer.",Cooperation,Real,2,2,1,Explicit,2.344086637178379
128,128,sweets,Sonja,Tyler,top,bottom,"It is Sonja's birthday, and their auntie pops in to give her a box of sweets. Sonja puts sweets in the top drawer for safe-keeping, because it's easier to reach than the bottom drawer. A few minutes later, Sonja's sweet sibling Tyler comes in and asks Sonja: “Where have you put your sweets, in your top drawer or your bottom drawer?” Sonja wants to share the sweets with Tyler. Sonja says the sweets are in the [MASK] drawer.",Cooperation,Real,2,2,1,Explicit,1.6357288825247682
129,129,sweets,Sonja,Tyler,bottom,top,"It is Sonja's birthday, and their auntie pops in to give her a box of sweets. Sonja puts sweets in the bottom drawer for safe-keeping, because it's easier to reach than the top drawer. A few minutes later, Sonja's sweet sibling Tyler comes in and asks Sonja: “Where have you put your sweets, in your bottom drawer or your top drawer?” Sonja wants to share the sweets with Tyler. Sonja says the sweets are in the [MASK] drawer.",Cooperation,Real,2,2,1,Explicit,3.2802906395943245
130,130,sweets,Sonja,Antonio,top,bottom,"It is Sonja's birthday, and their auntie pops in to give her a box of sweets. Sonja puts sweets in the top drawer for safe-keeping, because it's easier to reach than the bottom drawer. A few minutes later, Sonja's sweet sibling Antonio comes in and asks Sonja: “Where have you put your sweets, in your top drawer or your bottom drawer?” Sonja wants to share the sweets with Antonio. Sonja says the sweets are in the [MASK] drawer.",Cooperation,Real,2,2,1,Explicit,1.1479340267836198
